code_r;desig_r;dif;jour;month;mois;annee;num_man;code_p;design_p;poste;type_nav;nom_nav;sejour;num_gros;pavilion
503;CHELIFF 6;00:30:20;1;11;Novembre;2012;33;1;ENTREE;POSTE 26;RO/RO;TELEGHMA;23;20121218;ALGERIE
505;CAP CARBON;00:30:20;1;11;Novembre;2012;33;1;ENTREE;POSTE 26;RO/RO;TELEGHMA;23;20121218;ALGERIE
506;CAP SIGLI;00:30:20;1;11;Novembre;2012;33;1;ENTREE;POSTE 26;RO/RO;TELEGHMA;23;20121218;ALGERIE
505;CAP CARBON;00:30:08;1;11;Novembre;2012;34;2;SORTIE;POSTE 19;NAVIRE CARBURANT;SOPHIA;1;20121209;ILES MARSHALL
506;CAP SIGLI;00:30:08;1;11;Novembre;2012;34;2;SORTIE;POSTE 19;NAVIRE CARBURANT;SOPHIA;1;20121209;ILES MARSHALL
503;CHELIFF 6;00:30:00;1;11;Novembre;2012;35;1;ENTREE;POSTE 19;CARGO;COSTIS;0;20121213;SAINT-VINCENT ET GRENADINE
503;CHELIFF 6;00:40:12;1;11;Novembre;2012;36;2;SORTIE;POSTE 01;HUILIER;BARBARICA;8;20121180;ITALIE
505;CAP CARBON;00:40:12;1;11;Novembre;2012;36;2;SORTIE;POSTE 01;HUILIER;BARBARICA;8;20121180;ITALIE
506;CAP SIGLI;00:40:12;1;11;Novembre;2012;36;2;SORTIE;POSTE 01;HUILIER;BARBARICA;8;20121180;ITALIE
503;CHELIFF 6;00:25:00;1;11;Novembre;2012;37;2;SORTIE;POSTE 19;CARGO;COSTIS;0;20121213;SAINT-VINCENT ET GRENADINE
503;CHELIFF 6;00:35:00;1;11;Novembre;2012;38;2;SORTIE;POSTE 22;CARGO;BF LETICIA;1;20121146;ANTIGUA ET BARBUDA
505;CAP CARBON;00:35:00;1;11;Novembre;2012;38;2;SORTIE;POSTE 22;CARGO;BF LETICIA;1;20121146;ANTIGUA ET BARBUDA
506;CAP SIGLI;00:35:00;1;11;Novembre;2012;38;2;SORTIE;POSTE 22;CARGO;BF LETICIA;1;20121146;ANTIGUA ET BARBUDA
505;CAP CARBON;00:45:00;1;11;Novembre;2012;39;1;ENTREE;POSTE 22;PORTE CONTENEURS;CONSOUTH;2;20121165;ANTIGUA ET BARBUDA
506;CAP SIGLI;00:45:00;1;11;Novembre;2012;39;1;ENTREE;POSTE 22;PORTE CONTENEURS;CONSOUTH;2;20121165;ANTIGUA ET BARBUDA
505;CAP CARBON;00:40:01;1;11;Novembre;2012;40;2;SORTIE;POSTE 17;PORTE CONTENEURS;SADAN BAYRAKTAR;2;20121193;TURQUIE
506;CAP SIGLI;00:40:01;1;11;Novembre;2012;40;2;SORTIE;POSTE 17;PORTE CONTENEURS;SADAN BAYRAKTAR;2;20121193;TURQUIE
505;CAP CARBON;00:55:00;2;11;Novembre;2012;41;2;SORTIE;POSTE 17;PORTE CONTENEURS;SEA BREEZE;0;20121206;ANTIGUA ET BARBUDA
506;CAP SIGLI;00:55:00;2;11;Novembre;2012;41;2;SORTIE;POSTE 17;PORTE CONTENEURS;SEA BREEZE;0;20121206;ANTIGUA ET BARBUDA
505;CAP CARBON;00:25:00;2;11;Novembre;2012;42;2;SORTIE;POSTE 13;CARGO;VELSERDIEP;3;20121167;PAYS-BAS
506;CAP SIGLI;00:25:00;2;11;Novembre;2012;42;2;SORTIE;POSTE 13;CARGO;VELSERDIEP;3;20121167;PAYS-BAS
503;CHELIFF 6;00:55:08;2;11;Novembre;2012;43;2;SORTIE;POSTE 24;CARGO;CONTI PYRIT;3;20121166;PANAMA
505;CAP CARBON;00:55:08;2;11;Novembre;2012;43;2;SORTIE;POSTE 24;CARGO;CONTI PYRIT;3;20121166;PANAMA
506;CAP SIGLI;00:55:08;2;11;Novembre;2012;43;2;SORTIE;POSTE 24;CARGO;CONTI PYRIT;3;20121166;PANAMA
503;CHELIFF 6;02:20:00;2;11;Novembre;2012;44;1;ENTREE;POSTE 02;PETROLIER;PHOENIX ADMIRAL;1;20121221;SINGAPOUR
505;CAP CARBON;02:20:00;2;11;Novembre;2012;44;1;ENTREE;POSTE 02;PETROLIER;PHOENIX ADMIRAL;1;20121221;SINGAPOUR
506;CAP SIGLI;02:20:00;2;11;Novembre;2012;44;1;ENTREE;POSTE 02;PETROLIER;PHOENIX ADMIRAL;1;20121221;SINGAPOUR
503;CHELIFF 6;01:00:00;2;11;Novembre;2012;45;1;ENTREE;POSTE 24;CARGO;WESTERLAND;1;20121217;ANTIGUA ET BARBUDA
506;CAP SIGLI;00:39:41;2;11;Novembre;2012;46;1;ENTREE;POSTE 18;CARGO;PADNA;5;20121188;SAINT-VINCENT ET GRENADINE
503;CHELIFF 6;00:40:00;2;11;Novembre;2012;47;2;SORTIE;POSTE 09;RO/RO;CARIBANA EXPRESS;2;20121208;PANAMA
505;CAP CARBON;00:45:00;2;11;Novembre;2012;48;1;ENTREE;POSTE 13;CARGO;IBN SINA II;4;20121219;ALGERIE
506;CAP SIGLI;00:45:00;2;11;Novembre;2012;48;1;ENTREE;POSTE 13;CARGO;IBN SINA II;4;20121219;ALGERIE
503;CHELIFF 6;00:29:48;2;11;Novembre;2012;49;2;SORTIE;POSTE 14;CARGO;SEA DISCOVERY;3;20121185;CHYPRE
503;CHELIFF 6;00:40:00;2;11;Novembre;2012;50;1;ENTREE;POSTE 19;CARGO;CDRY WHITE;6;20121192;ITALIE
505;CAP CARBON;00:50:00;2;11;Novembre;2012;51;2;SORTIE;POSTE 17;PORTE CONTENEURS;SEA BREEZE;0;20121206;ANTIGUA ET BARBUDA
506;CAP SIGLI;00:50:00;2;11;Novembre;2012;51;2;SORTIE;POSTE 17;PORTE CONTENEURS;SEA BREEZE;0;20121206;ANTIGUA ET BARBUDA
503;CHELIFF 6;00:35:00;2;11;Novembre;2012;52;2;SORTIE;POSTE 24;CARGO;WESTERLAND;1;20121217;ANTIGUA ET BARBUDA
503;CHELIFF 6;00:55:00;3;11;Novembre;2012;53;2;SORTIE;POSTE 21;CEREALIER;DORIC SPIRIT;11;20121150;GRECE
505;CAP CARBON;00:55:00;3;11;Novembre;2012;53;2;SORTIE;POSTE 21;CEREALIER;DORIC SPIRIT;11;20121150;GRECE
506;CAP SIGLI;00:55:00;3;11;Novembre;2012;53;2;SORTIE;POSTE 21;CEREALIER;DORIC SPIRIT;11;20121150;GRECE
503;CHELIFF 6;01:15:01;3;11;Novembre;2012;54;1;ENTREE;RADE;CEREALIER;TRITON SWALLOW;12;20121195;PANAMA
505;CAP CARBON;01:15:01;3;11;Novembre;2012;54;1;ENTREE;RADE;CEREALIER;TRITON SWALLOW;12;20121195;PANAMA
